Time (s),Gyro X,Gyro Y,Gyro Z
1.0728836059570312e-05,-161.0,-1111.0,278.0
0.01566028594970703,-161.0,-1111.0,278.0
0.031171560287475586,-161.0,-1111.0,269.3333333333333
0.04677724838256836,-161.0,-1111.0,269.3333333333333
0.062278032302856445,-161.0,-1111.0,269.3333333333333
0.07772469520568848,-161.0,-1111.0,269.3333333333333
0.09318089485168457,-161.0,-1111.0,269.3333333333333
0.10862135887145996,-161.0,-1111.0,269.3333333333333
0.12407660484313965,-161.0,-1111.0,269.3333333333333
0.13956975936889648,-161.0,-1111.0,269.33333333333337
0.15507245063781738,-161.0,-1111.0,269.33333333333337
0.17051386833190918,-161.0,-1111.0,269.33333333333337
0.1859743595123291,-161.0,-1111.0,269.33333333333337
0.2014627456665039,-161.0,-1111.0,269.33333333333337
0.21692776679992676,-161.0,-1111.0,269.33333333333337
0.23235869407653809,-161.0,-1111.0,268.7555555555556
0.24782562255859375,-161.0,-1111.0,268.1392592592593
0.2632577419281006,-161.0,-1111.0,269.21520987654327
0.2786879539489746,-161.0,-1111.0,269.2073349794239
0.294219970703125,-161.0,-1111.0,269.1989350891633
0.3096599578857422,-161.0,-1111.0,269.1899752062186
0.3250913619995117,-161.0,-1111.0,269.1804179977443
0.3405647277832031,-161.0,-1112.2,269.17022364203837
0.35602712631225586,-161.0,-1112.28,269.1593496626187
0.37145304679870605,-161.0,-1112.3653333333334,269.14775075123765
0.38689088821411133,-161.0,-1112.4563555555555,269.135378579098
0.40239953994750977,-161.0,-1112.5534459259259,269.12218159548223
0.417896032333374,-161.0,-1112.6570089876545,269.10810481295886
0.43337440490722656,-161.0,-1112.767476253498,269.09308957826727
0.44913291931152344,-161.0,-1112.885308003731,269.0770733279295
0.46457886695861816,-161.0,-1113.0109952039797,269.05998932756927
0.48049497604370117,-161.0,-1113.145061550912,269.0802849123702
0.49609971046447754,-161.0,-1113.2880656543061,269.1430199559109
0.511660099029541,-161.0,-1113.4406033645932,269.13820729453545
0.5271258354187012,-161.0,-1113.6033102555662,268.19105162924046
0.5425841808319092,-161.0,-1113.776864272604,268.123859398579
0.5580196380615234,-161.0,-1113.961988557444,268.052785011403
0.5734705924987793,-161.0,-1112.9594544612735,267.97760947898024
